id,pred
2017_1112_1116,0.619284808636
2017_1112_1124,0.597652852535
2017_1116_1124,0.477813333273
2017_1112_1137,0.850974082947
2017_1116_1137,0.778607904911
2017_1124_1137,0.796515524387
2017_1112_1139,0.540676891804
2017_1116_1139,0.420311868191
2017_1124_1139,0.446918308735
2017_1137_1139,0.168695509434
2017_1112_1153,0.426160156727
2017_1116_1153,0.313848435879
2017_1124_1153,0.337363690138
2017_1137_1153,0.113485604525
2017_1139_1153,0.382297605276
2017_1112_1166,0.658208489418
2017_1116_1166,0.542924523354
2017_1124_1166,0.570497989655
2017_1137_1166,0.250351041555
2017_1139_1166,0.617490947247
2017_1153_1166,0.722744524479
2017_1112_1173,0.684659779072
2017_1116_1173,0.572187304497
2017_1124_1173,0.598180174828
2017_1137_1173,0.272335529327
2017_1139_1173,0.644008159637
2017_1153_1173,0.744656980038
2017_1166_1173,0.521503806114
2017_1112_1181,0.381780773401
2017_1116_1181,0.275604307652
2017_1124_1181,0.297417640686
2017_1137_1181,0.0962329804897
2017_1139_1181,0.339738786221
2017_1153_1181,0.453720062971
2017_1166_1181,0.23682461679
2017_1173_1181,0.223235413432
2017_1112_1190,0.811004817486
2017_1116_1190,0.725484073162
2017_1124_1190,0.74622887373
2017_1137_1190,0.42525613308
2017_1139_1190,0.781481385231
2017_1153_1190,0.852300703526
2017_1166_1190,0.683044016361
2017_1173_1190,0.666177392006
2017_1181_1190,0.874010205269
2017_1112_1195,0.874203085899
2017_1116_1195,0.80960726738
2017_1124_1195,0.826453208923
2017_1137_1195,0.545065820217
2017_1139_1195,0.85209685564
2017_1153_1195,0.90264737606
2017_1166_1195,0.777315199375
2017_1173_1195,0.762787163258
2017_1181_1195,0.918085098267
2017_1190_1195,0.618775963783
2017_1112_1196,0.390534996986
2017_1116_1196,0.282998561859
2017_1124_1196,0.305196166039
2017_1137_1196,0.0994564816356
2017_1139_1196,0.348046422005
2017_1153_1196,0.462868183851
2017_1166_1196,0.243354022503
2017_1173_1196,0.229615584016
2017_1181_1196,0.509100794792
2017_1190_1196,0.130095914006
2017_1195_1196,0.0871854498982
2017_1112_1199,0.445804357529
2017_1116_1199,0.33134791255
2017_1124_1199,0.355436861515
2017_1137_1199,0.121772661805
2017_1139_1199,0.401294916868
2017_1153_1199,0.519639790058
2017_1166_1199,0.287661075592
2017_1173_1199,0.272304773331
2017_1181_1199,0.565601289272
2017_1190_1199,0.158081635833
2017_1195_1199,0.10471752286
2017_1196_1199,0.555430591106
2017_1112_1211,0.510428369045
2017_1116_1211,0.390993833542
2017_1124_1211,0.41674092412
2017_1137_1211,0.152347058058
2017_1139_1211,0.464877843857
2017_1153_1211,0.583674371243
2017_1166_1211,0.343655377626
2017_1173_1211,0.326505362988
2017_1181_1211,0.62771999836
2017_1190_1211,0.195748209953
2017_1195_1211,0.130271494389
2017_1196_1211,0.61795425415
2017_1199_1211,0.566224575043
2017_1112_1233,0.897568285465
2017_1116_1233,0.839765965939
2017_1124_1233,0.856871187687
2017_1137_1233,0.607711791992
2017_1139_1233,0.880234599113
2017_1153_1233,0.921914935112
2017_1166_1233,0.817544460297
2017_1173_1233,0.797836840153
2017_1181_1233,0.930283904076
2017_1190_1233,0.677176356316
2017_1195_1233,0.561600983143
2017_1196_1233,0.927184045315
2017_1199_1233,0.911929309368
2017_1211_1233,0.896634161472
2017_1112_1235,0.590885341167
2017_1116_1235,0.471415817738
2017_1124_1235,0.497976183891
2017_1137_1235,0.199683770537
2017_1139_1235,0.546669960022
2017_1153_1235,0.660599887371
2017_1166_1235,0.420810341835
2017_1173_1235,0.403114438057
2017_1181_1235,0.700654864311
2017_1190_1235,0.253612011671
2017_1195_1235,0.176005154848
2017_1196_1235,0.692267239094
2017_1199_1235,0.644316673279
2017_1211_1235,0.583083808422
2017_1233_1235,0.137345433235
2017_1112_1240,0.910109519958
2017_1116_1240,0.86042112112
2017_1124_1240,0.874041378498
2017_1137_1240,0.635742306709
2017_1139_1240,0.89296579361
2017_1153_1240,0.930551350117
2017_1166_1240,0.835582077503
2017_1173_1240,0.823262274265
2017_1181_1240,0.941973805428
2017_1190_1240,0.702708959579
2017_1195_1240,0.591811716557
2017_1196_1240,0.939193725586
2017_1199_1240,0.92596834898
2017_1211_1240,0.907258927822
2017_1233_1240,0.527666211128
2017_1235_1240,0.871161520481
2017_1112_1242,0.544725120068
2017_1116_1242,0.423198372126
2017_1124_1242,0.45059081912
2017_1137_1242,0.170969232917
2017_1139_1242,0.499281704426
2017_1153_1242,0.616774916649
2017_1166_1242,0.375272154808
2017_1173_1242,0.357557535172
2017_1181_1242,0.659349322319
2017_1190_1242,0.218325361609
2017_1195_1242,0.147955000401
2017_1196_1242,0.649914979935
2017_1199_1242,0.59984767437
2017_1211_1242,0.536242067814
2017_1233_1242,0.11728708446
2017_1235_1242,0.44841247797
2017_1240_1242,0.107583656907
2017_1112_1243,0.663924634457
2017_1116_1243,0.548900842667
2017_1124_1243,0.575203359127
2017_1137_1243,0.254053682089
2017_1139_1243,0.62211638689
2017_1153_1243,0.72656005621
2017_1166_1243,0.49797514081
2017_1173_1243,0.478839635849
2017_1181_1243,0.761740386486
2017_1190_1243,0.315650999546
2017_1195_1243,0.225647136569
2017_1196_1243,0.754168570042
2017_1199_1243,0.712210655212
2017_1211_1243,0.656258940697
2017_1233_1243,0.17861905694
2017_1235_1243,0.573078870773
2017_1240_1243,0.169085621834
2017_1242_1243,0.624299049377
2017_1112_1245,0.839587390423
2017_1116_1245,0.763483226299
2017_1124_1245,0.781988501549
2017_1137_1245,0.473642736673
2017_1139_1245,0.813646137714
2017_1153_1245,0.875599384308
2017_1166_1245,0.722969651222
2017_1173_1245,0.708560705185
2017_1181_1245,0.894109964371
2017_1190_1245,0.549453496933
2017_1195_1245,0.428381145
2017_1196_1245,0.890570580959
2017_1199_1245,0.867421925068
2017_1211_1245,0.833714067936
2017_1233_1245,0.365142315626
2017_1235_1245,0.779509365559
2017_1240_1245,0.340436339378
2017_1242_1245,0.813514888287
2017_1243_1245,0.722936213017
2017_1112_1246,0.376781314611
2017_1116_1246,0.271374970675
2017_1124_1246,0.293007582426
2017_1137_1246,0.0943636000156
2017_1139_1246,0.334989339113
2017_1153_1246,0.448461711407
2017_1166_1246,0.232820153236
